review_status,review_action,review_decision,video,start_frame,end_frame,current_training_label,suspected_pose,source_review_status,source_current_label,source_review_label,source_suggested_label,source_start_frame,source_end_frame,priority,reason,sample_frame,image_path,pose_frames,mean_torso_angle,mean_abs_vertical_velocity,mean_aspect_ratio,mean_body_height,mean_center_drop
REVIEW_NEEDED,Review this segment: enter Normal if it shows non-fall lying or reclining; otherwise enter Reject or add a note.,,adl-07-cam0-rgb,128,179,Normal,Lying_or_low_posture,REVIEW_IMPORTANT,Sitting,Sitting,,128,179,high,Currently labeled Sitting; verify whether the low horizontal inclined near-ground posture is truly sitting.,154,data/videos/ADL/adl-07-cam0-rgb/adl-07-cam0-rgb-155.png,52,0.7957,0.0433,0.4278,0.3270,0.1246
REVIEW_NEEDED,Review this segment: enter Normal if it shows non-fall lying or reclining; otherwise enter Reject or add a note.,,adl-08-cam0-rgb,143,179,Normal,Lying_or_low_posture,REVIEW_IMPORTANT,Sitting,Sitting,,143,179,high,Currently labeled Sitting; verify whether the low horizontal inclined near-ground posture is truly sitting.,161,data/videos/ADL/adl-08-cam0-rgb/adl-08-cam0-rgb-162.png,37,0.9355,0.0388,0.4273,0.3262,0.1138
REVIEW_DONE,Confirmed as non-fall lying or reclining; retain Normal for training.,Normal,adl-10-cam0-rgb,208,299,Normal,Lying,REVIEW_IMPORTANT,Sitting,Sitting,Lying,96,299,high,reclines onto couch/bed and remains horizontal; split from earlier sitting,256,data/videos/ADL/adl-10-cam0-rgb/adl-10-cam0-rgb-257.png,204,30.2953,0.1396,0.7617,0.4460,0.1510
REVIEW_NEEDED,Review this segment: enter Normal if it shows non-fall lying or reclining; otherwise enter Reject or add a note.,,adl-18-cam0-rgb,199,264,Normal,Lying,REVIEW_IMPORTANT,Walking,Walking,Lying,90,264,medium,lies on couch in the latter part of the sequence,226,data/videos/ADL/adl-18-cam0-rgb/adl-18-cam0-rgb-227.png,148,1.5957,0.1011,0.3621,0.4610,0.0249
REVIEW_NEEDED,Review this segment: enter Normal if it shows non-fall lying or reclining; otherwise enter Reject or add a note.,,adl-20-cam0-rgb,220,269,Normal,Lying,REVIEW_IMPORTANT,Walking,Walking,Lying,91,269,medium,dark sofa scene; body is mostly hidden but posture appears reclined/lying,231,data/videos/ADL/adl-20-cam0-rgb/adl-20-cam0-rgb-232.png,147,1.6119,0.0950,0.2931,0.4887,0.0174
REVIEW_DONE,Confirmed as non-fall lying or reclining; retain Normal for training.,Normal,adl-21-cam0-rgb,189,279,Normal,Lying,REVIEW_IMPORTANT,Walking,Walking,Lying,93,279,medium,lies behind/on couch for the latter part of the sequence,239,data/videos/ADL/adl-21-cam0-rgb/adl-21-cam0-rgb-240.png,114,6.8933,0.1138,0.3904,0.4464,0.0298
REVIEW_DONE,Confirmed as non-fall lying or reclining; retain Normal for training.,Normal,adl-36-cam0-rgb,230,339,Normal,Lying,REVIEW_IMPORTANT,Walking,Walking,Lying,102,339,medium,lies on bed in the latter part of the sequence,291,data/videos/ADL/adl-36-cam0-rgb/adl-36-cam0-rgb-292.png,141,3.2908,0.0793,0.3252,0.5913,0.1402
REVIEW_DONE,Confirmed as non-fall lying or reclining; retain Normal for training.,Normal,adl-37-cam0-rgb,250,349,Normal,Lying,REVIEW_IMPORTANT,Walking,Walking,Lying,103,349,medium,lies curled on bed in the latter part of the sequence,291,data/videos/ADL/adl-37-cam0-rgb/adl-37-cam0-rgb-292.png,168,7.9531,0.0883,0.3878,0.5342,0.1666
REFERENCE_DONE,Reference only: previously confirmed and synchronized non-fall lying example.,Normal,adl-22-cam0-rgb,171,239,Normal,Lying,DONE_NO_NEED,Normal,Lying,,171,239,high,synced from activity_recheck.csv row 171-239,171,data/videos/ADL/adl-22-cam0-rgb/adl-22-cam0-rgb-172.png,1,17.0523,0.2268,0.6628,0.1856,0.1704
REFERENCE_DONE,Reference only: previously confirmed and synchronized non-fall lying example.,Normal,adl-23-cam0-rgb,147,150,Normal,Lying,DONE_NO_NEED,Sitting,Lying,,147,150,high,synced from activity_recheck.csv row 147-219,130,data/videos/ADL/adl-23-cam0-rgb/adl-23-cam0-rgb-131.png,29,9.1024,0.1782,0.5309,0.2624,0.1324
REFERENCE_DONE,Reference only: previously confirmed and synchronized non-fall lying example.,Normal,adl-23-cam0-rgb,151,219,Normal,Lying,DONE_NO_NEED,Normal,Lying,,151,219,high,synced from activity_recheck.csv row 147-219,153,data/videos/ADL/adl-23-cam0-rgb/adl-23-cam0-rgb-154.png,2,14.9832,0.0866,0.5546,0.2261,0.1775
